Month,City,Units_Consumed,Tariff_Rate,Electricity_Bill
2,Navi Mumbai,464,9.3,4315.2
11,Shimla,493,7.7,3796.1
11,Hyderabad,479,8.4,4023.6
3,Chennai,432,8.8,3801.6
12,Faridabad,565,8.1,4576.5
8,Hyderabad,468,8.4,3931.2
10,Gurgaon,263,8.3,2182.9
10,Hyderabad,489,8.4,4107.6
1,Ahmedabad,485,7.9,3831.5
3,Ratnagiri,719,7.4,5320.6
7,Shimla,570,7.7,4389
2,Kolkata,590,8.7,5133
6,New Delhi,451,8.5,3833.5
10,Navi Mumbai,651,9.3,6054.3
2,Hyderabad,611,8.4,5132.4
4,Ahmedabad,625,7.9,4937.5
6,Ratnagiri,518,7.4,3833.2
6,Dahej,416,7.6,3161.6
9,Gurgaon,460,8.3,3818
11,Shimla,491,7.7,3780.7
6,Hyderabad,672,8.4,5644.8
3,Vadodara,457,7.8,3564.6
7,Ahmedabad,709,7.9,5601.1
10,Dahej,693,7.6,5266.8
7,Pune,722,9.1,6570.2
2,Kolkata,327,8.7,2844.9
3,Dahej,412,7.6,3131.2
9,Nagpur,526,8.9,4681.4
8,Pune,598,9.1,5441.8
8,Pune,352,9.1,3203.2
12,Chennai,371,8.8,3264.8
1,Ratnagiri,578,7.4,4277.2
7,Gurgaon,624,8.3,5179.2
2,Navi Mumbai,341,9.3,3171.3
6,Faridabad,421,8.1,3410.1
9,Faridabad,480,8.1,3888
8,Vadodara,579,7.8,4516.2
2,Gurgaon,557,8.3,4623.1
1,New Delhi,367,8.5,3119.5
5,Ahmedabad,653,7.9,5158.7
6,Noida,484,8.2,3968.8
7,New Delhi,615,8.5,5227.5
3,New Delhi,754,8.5,6409
8,Nagpur,676,8.9,6016.4
12,Chennai,536,8.8,4716.8
3,Pune,541,9.1,4923.1
8,Kolkata,490,8.7,4263
5,Dahej,871,7.6,6619.6
3,Dahej,440,7.6,3344
2,Faridabad,343,8.1,2778.3
9,Dahej,764,7.6,5806.4
2,Dahej,300,7.6,2280
11,Gurgaon,386,8.3,3203.8
2,Faridabad,620,8.1,5022
10,Chennai,578,8.8,5086.4
8,Gurgaon,491,8.3,4075.3
1,Chennai,413,8.8,3634.4
1,Gurgaon,468,8.3,3884.4
6,Kolkata,582,8.7,5063.4
5,New Delhi,592,8.5,5032
9,New Delhi,504,8.5,4284
2,Ahmedabad,390,7.9,3081
7,Navi Mumbai,380,9.3,3534
3,Noida,465,8.2,3813
5,Ratnagiri,688,7.4,5091.2
8,Ratnagiri,428,7.4,3167.2
2,Hyderabad,514,8.4,4317.6
2,Nagpur,584,8.9,5197.6
5,Noida,378,8.2,3099.6
12,Navi Mumbai,543,9.3,5049.9
7,Dahej,783,7.6,5950.8
5,Noida,574,8.2,4706.8
6,New Delhi,401,8.5,3408.5
12,Hyderabad,507,8.4,4258.8
3,Ratnagiri,657,7.4,4861.8
1,Hyderabad,456,8.4,3830.4
12,Gurgaon,480,8.3,3984
4,Faridabad,535,8.1,4333.5
1,Navi Mumbai,583,9.3,5421.9
4,New Delhi,629,8.5,5346.5
6,Chennai,674,8.8,5931.2
12,Shimla,481,7.7,3703.7
4,Ahmedabad,533,7.9,4210.7
5,Ratnagiri,460,7.4,3404
11,Kolkata,427,8.7,3714.9
10,Chennai,507,8.8,4461.6
4,Ahmedabad,385,7.9,3041.5
10,Hyderabad,218,8.4,1831.2
4,Gurgaon,558,8.3,4631.4
3,Navi Mumbai,505,9.3,4696.5
7,Dahej,454,7.6,3450.4
9,Pune,493,9.1,4486.3
6,Faridabad,417,8.1,3377.7
9,Gurgaon,592,8.3,4913.6
3,Shimla,618,7.7,4758.6
3,Chennai,475,8.8,4180
10,Vadodara,543,7.8,4235.4
9,Vadodara,548,7.8,4274.4
5,Pune,514,9.1,4677.4
11,New Delhi,685,8.5,5822.5
9,Gurgaon,780,8.3,6474
9,Navi Mumbai,552,9.3,5133.6
4,Navi Mumbai,433,9.3,4026.9
2,Hyderabad,550,8.4,4620
9,Chennai,487,8.8,4285.6
4,Gurgaon,471,8.3,3909.3
3,Navi Mumbai,409,9.3,3803.7
2,Chennai,445,8.8,3916
10,Vadodara,538,7.8,4196.4
3,Kolkata,438,8.7,3810.6
4,Noida,325,8.2,2665
10,Vadodara,680,7.8,5304
2,New Delhi,581,8.5,4938.5
3,Vadodara,590,7.8,4602
1,Ahmedabad,367,7.9,2899.3
6,Chennai,500,8.8,4400
1,Mumbai,631,9.2,5805.2
11,Faridabad,246,8.1,1992.6
9,Mumbai,436,9.2,4011.2
4,Ratnagiri,511,7.4,3781.4
10,Ratnagiri,397,7.4,2937.8
8,Dahej,452,7.6,3435.2
8,Chennai,572,8.8,5033.6
10,Mumbai,655,9.2,6026
11,Shimla,281,7.7,2163.7
10,Noida,766,8.2,6281.2
8,Noida,611,8.2,5010.2
4,Hyderabad,440,8.4,3696
3,Nagpur,620,8.9,5518
9,Pune,390,9.1,3549
2,Chennai,590,8.8,5192
2,Hyderabad,315,8.4,2646
11,Shimla,226,7.7,1740.2
11,Gurgaon,444,8.3,3685.2
1,New Delhi,450,8.5,3825
10,Gurgaon,704,8.3,5843.2
10,New Delhi,591,8.5,5023.5
1,Chennai,475,8.8,4180
12,Ahmedabad,325,7.9,2567.5
9,Dahej,500,7.6,3800
12,Hyderabad,604,8.4,5073.6
10,Gurgaon,464,8.3,3851.2
4,Mumbai,482,9.2,4434.4
8,Noida,585,8.2,4797
1,Shimla,658,7.7,5066.6
6,Navi Mumbai,658,9.3,6119.4
3,Hyderabad,468,8.4,3931.2
1,Noida,566,8.2,4641.2
2,Faridabad,384,8.1,3110.4
2,Ahmedabad,709,7.9,5601.1
5,New Delhi,378,8.5,3213
11,Shimla,588,7.7,4527.6
4,Ratnagiri,422,7.4,3122.8
10,Kolkata,682,8.7,5933.4
1,Ratnagiri,594,7.4,4395.6
10,Noida,666,8.2,5461.2
7,Noida,484,8.2,3968.8
12,Dahej,591,7.6,4491.6
3,Gurgaon,247,8.3,2050.1
7,Shimla,756,7.7,5821.2
7,Noida,685,8.2,5617
7,Ratnagiri,413,7.4,3056.2
10,Dahej,533,7.6,4050.8
2,Navi Mumbai,384,9.3,3571.2
9,New Delhi,423,8.5,3595.5
6,Noida,467,8.2,3829.4
9,Vadodara,289,7.8,2254.2
4,Mumbai,254,9.2,2336.8
2,Gurgaon,600,8.3,4980
8,Noida,570,8.2,4674
6,Chennai,502,8.8,4417.6
1,Kolkata,416,8.7,3619.2
10,Navi Mumbai,448,9.3,4166.4
4,Navi Mumbai,313,9.3,2910.9
10,Ahmedabad,440,7.9,3476
6,Ratnagiri,473,7.4,3500.2
4,Hyderabad,407,8.4,3418.8
3,Nagpur,479,8.9,4263.1
3,Ahmedabad,597,7.9,4716.3
3,Shimla,559,7.7,4304.3
10,Pune,522,9.1,4750.2
5,Gurgaon,713,8.3,5917.9
9,New Delhi,542,8.5,4607
7,Noida,526,8.2,4313.2
1,Dahej,450,7.6,3420
12,Ratnagiri,605,7.4,4477
11,Mumbai,322,9.2,2962.4
2,Noida,638,8.2,5231.6
5,Vadodara,396,7.8,3088.8
7,Shimla,502,7.7,3865.4
6,New Delhi,412,8.5,3502
8,New Delhi,598,8.5,5083
8,Nagpur,586,8.9,5215.4
9,New Delhi,579,8.5,4921.5
6,Chennai,476,8.8,4188.8
7,Noida,588,8.2,4821.6
3,Pune,591,9.1,5378.1
1,Noida,412,8.2,3378.4
3,Ahmedabad,621,7.9,4905.9
3,Vadodara,427,7.8,3330.6
5,New Delhi,406,8.5,3451
5,Noida,707,8.2,5797.4
10,New Delhi,333,8.5,2830.5
6,Hyderabad,484,8.4,4065.6
7,Shimla,713,7.7,5490.1
5,Dahej,595,7.6,4522
7,Hyderabad,340,8.4,2856
11,Ratnagiri,355,7.4,2627
6,New Delhi,532,8.5,4522
8,Gurgaon,401,8.3,3328.3
8,Ahmedabad,286,7.9,2259.4
2,Noida,605,8.2,4961
1,Nagpur,691,8.9,6149.9
4,Hyderabad,564,8.4,4737.6
6,Gurgaon,409,8.3,3394.7
7,Vadodara,622,7.8,4851.6
11,Ahmedabad,591,7.9,4668.9
3,Gurgaon,444,8.3,3685.2
1,Chennai,521,8.8,4584.8
1,Gurgaon,535,8.3,4440.5
12,Nagpur,538,8.9,4788.2
6,Chennai,406,8.8,3572.8
12,Ahmedabad,430,7.9,3397
1,Kolkata,637,8.7,5541.9
9,Ratnagiri,560,7.4,4144
7,Navi Mumbai,473,9.3,4398.9
4,Kolkata,381,8.7,3314.7
10,Noida,463,8.2,3796.6
7,Noida,713,8.2,5846.6
10,Hyderabad,520,8.4,4368
2,Noida,591,8.2,4846.2
8,Ratnagiri,617,7.4,4565.8
2,Nagpur,434,8.9,3862.6
10,Dahej,489,7.6,3716.4
1,Mumbai,641,9.2,5897.2
1,Ahmedabad,239,7.9,1888.1
9,Hyderabad,456,8.4,3830.4
10,Ratnagiri,524,7.4,3877.6
12,Faridabad,370,8.1,2997
9,Hyderabad,563,8.4,4729.2
3,Navi Mumbai,474,9.3,4408.2
8,Pune,597,9.1,5432.7
6,Noida,556,8.2,4559.2
10,Chennai,570,8.8,5016
9,Nagpur,518,8.9,4610.2
7,Faridabad,666,8.1,5394.6
10,New Delhi,339,8.5,2881.5
9,Noida,705,8.2,5781
8,Ratnagiri,595,7.4,4403
9,Chennai,615,8.8,5412
8,New Delhi,530,8.5,4505
9,Navi Mumbai,482,9.3,4482.6
10,Nagpur,403,8.9,3586.7
3,Kolkata,559,8.7,4863.3
1,Ahmedabad,810,7.9,6399
7,Vadodara,502,7.8,3915.6
3,Nagpur,429,8.9,3818.1
11,Ratnagiri,410,7.4,3034
1,Chennai,718,8.8,6318.4
9,Navi Mumbai,308,9.3,2864.4
4,Ratnagiri,619,7.4,4580.6
12,Vadodara,605,7.8,4719
4,Ahmedabad,527,7.9,4163.3
7,Navi Mumbai,608,9.3,5654.4
6,Ratnagiri,789,7.4,5838.6
4,Nagpur,407,8.9,3622.3
6,Ahmedabad,491,7.9,3878.9
11,Faridabad,517,8.1,4187.7
8,Nagpur,619,8.9,5509.1
6,Mumbai,477,9.2,4388.4
8,New Delhi,511,8.5,4343.5
6,Ahmedabad,488,7.9,3855.2
2,Gurgaon,247,8.3,2050.1
11,Vadodara,579,7.8,4516.2
4,Gurgaon,760,8.3,6308
1,Hyderabad,487,8.4,4090.8
12,Ahmedabad,530,7.9,4187
3,Vadodara,480,7.8,3744
11,Mumbai,239,9.2,2198.8
5,Nagpur,663,8.9,5900.7
10,New Delhi,560,8.5,4760
6,Faridabad,658,8.1,5329.8
3,Navi Mumbai,465,9.3,4324.5
3,Noida,285,8.2,2337
2,Vadodara,444,7.8,3463.2
2,Chennai,471,8.8,4144.8
9,Faridabad,569,8.1,4608.9
7,Faridabad,596,8.1,4827.6
4,Noida,537,8.2,4403.4
9,Dahej,450,7.6,3420
2,Dahej,372,7.6,2827.2
7,Mumbai,335,9.2,3082
10,Kolkata,516,8.7,4489.2
3,Hyderabad,519,8.4,4359.6
2,Faridabad,699,8.1,5661.9
10,Vadodara,506,7.8,3946.8
12,Navi Mumbai,623,9.3,5793.9
4,Ratnagiri,650,7.4,4810
9,Navi Mumbai,425,9.3,3952.5
11,Pune,500,9.1,4550
10,Hyderabad,531,8.4,4460.4
5,Dahej,425,7.6,3230
1,Dahej,401,7.6,3047.6
12,New Delhi,419,8.5,3561.5
4,Nagpur,461,8.9,4102.9
11,Noida,380,8.2,3116
7,Pune,340,9.1,3094
3,Ratnagiri,584,7.4,4321.6
2,Kolkata,576,8.7,5011.2
1,Ratnagiri,584,7.4,4321.6
10,Nagpur,639,8.9,5687.1
9,Vadodara,680,7.8,5304
2,Gurgaon,571,8.3,4739.3
12,Ratnagiri,356,7.4,2634.4
1,New Delhi,688,8.5,5848
3,Navi Mumbai,585,9.3,5440.5
12,Gurgaon,456,8.3,3784.8
5,Kolkata,410,8.7,3567
2,Dahej,543,7.6,4126.8
12,Mumbai,449,9.2,4130.8
6,Kolkata,529,8.7,4602.3
4,Kolkata,481,8.7,4184.7
8,Navi Mumbai,471,9.3,4380.3
3,Hyderabad,320,8.4,2688
6,New Delhi,518,8.5,4403
5,Gurgaon,692,8.3,5743.6
10,Pune,708,9.1,6442.8
1,Chennai,412,8.8,3625.6
5,Nagpur,573,8.9,5099.7
6,Nagpur,809,8.9,7200.1
9,Noida,586,8.2,4805.2
4,Kolkata,662,8.7,5759.4
7,Noida,537,8.2,4403.4
12,Navi Mumbai,400,9.3,3720
7,Navi Mumbai,538,9.3,5003.4
4,Mumbai,487,9.2,4480.4
5,Navi Mumbai,451,9.3,4194.3
8,Mumbai,442,9.2,4066.4
3,New Delhi,670,8.5,5695
8,Faridabad,485,8.1,3928.5
10,Pune,577,9.1,5250.7
9,Shimla,332,7.7,2556.4
10,New Delhi,544,8.5,4624
5,Gurgaon,353,8.3,2929.9
9,New Delhi,411,8.5,3493.5
5,Gurgaon,688,8.3,5710.4
11,Shimla,265,7.7,2040.5
4,Ratnagiri,425,7.4,3145
10,Vadodara,610,7.8,4758
1,Noida,584,8.2,4788.8
3,Gurgaon,489,8.3,4058.7
5,Hyderabad,357,8.4,2998.8
9,Pune,617,9.1,5614.7
6,Shimla,555,7.7,4273.5
8,Pune,410,9.1,3731
3,New Delhi,602,8.5,5117
6,Nagpur,375,8.9,3337.5
7,Faridabad,666,8.1,5394.6
6,Nagpur,334,8.9,2972.6
5,Nagpur,374,8.9,3328.6
1,Shimla,551,7.7,4242.7
10,Navi Mumbai,470,9.3,4371
9,New Delhi,552,8.5,4692
6,Pune,413,9.1,3758.3
3,Vadodara,514,7.8,4009.2
4,New Delhi,517,8.5,4394.5
7,Chennai,544,8.8,4787.2
5,Noida,410,8.2,3362
12,Vadodara,524,7.8,4087.2
10,Chennai,546,8.8,4804.8
6,Mumbai,546,9.2,5023.2
10,Hyderabad,397,8.4,3334.8
11,Gurgaon,551,8.3,4573.3
3,Nagpur,707,8.9,6292.3
9,Vadodara,386,7.8,3010.8
3,Dahej,526,7.6,3997.6
6,Chennai,737,8.8,6485.6
3,Noida,605,8.2,4961
7,Mumbai,510,9.2,4692
6,Gurgaon,672,8.3,5577.6
10,Shimla,711,7.7,5474.7
11,Shimla,481,7.7,3703.7
11,Kolkata,596,8.7,5185.2
4,Ratnagiri,416,7.4,3078.4
7,Hyderabad,658,8.4,5527.2
4,Hyderabad,550,8.4,4620
10,Pune,358,9.1,3257.8
8,Ahmedabad,563,7.9,4447.7
11,Navi Mumbai,561,9.3,5217.3
5,Gurgaon,326,8.3,2705.8
3,Gurgaon,517,8.3,4291.1
2,Kolkata,407,8.7,3540.9
11,New Delhi,658,8.5,5593
9,Shimla,484,7.7,3726.8
12,Navi Mumbai,474,9.3,4408.2
4,New Delhi,514,8.5,4369
5,New Delhi,677,8.5,5754.5
3,Gurgaon,492,8.3,4083.6
12,Ahmedabad,747,7.9,5901.3
3,Shimla,539,7.7,4150.3
8,Ahmedabad,262,7.9,2069.8
9,Dahej,691,7.6,5251.6
9,Navi Mumbai,465,9.3,4324.5
1,Gurgaon,619,8.3,5137.7
5,Dahej,585,7.6,4446
3,Navi Mumbai,492,9.3,4575.6
2,Pune,338,9.1,3075.8
8,Hyderabad,512,8.4,4300.8
11,Nagpur,289,8.9,2572.1
3,Mumbai,514,9.2,4728.8
11,Ahmedabad,625,7.9,4937.5
8,Ratnagiri,729,7.4,5394.6
11,Vadodara,568,7.8,4430.4
7,Faridabad,657,8.1,5321.7
1,Kolkata,435,8.7,3784.5
4,Nagpur,287,8.9,2554.3
1,Gurgaon,623,8.3,5170.9
3,Vadodara,482,7.8,3759.6
5,Faridabad,558,8.1,4519.8
11,Nagpur,479,8.9,4263.1
5,Vadodara,608,7.8,4742.4
6,Hyderabad,478,8.4,4015.2
11,Noida,550,8.2,4510
9,Nagpur,464,8.9,4129.6
10,Faridabad,669,8.1,5418.9
7,Pune,498,9.1,4531.8
4,Chennai,402,8.8,3537.6
9,Dahej,515,7.6,3914
8,Mumbai,806,9.2,7415.2
3,New Delhi,773,8.5,6570.5
9,Nagpur,517,8.9,4601.3
1,New Delhi,463,8.5,3935.5
10,Pune,661,9.1,6015.1
3,Gurgaon,657,8.3,5453.1
12,Gurgaon,531,8.3,4407.3
6,Hyderabad,500,8.4,4200
5,Pune,432,9.1,3931.2
11,Faridabad,374,8.1,3029.4
9,Chennai,678,8.8,5966.4
5,Ratnagiri,596,7.4,4410.4
12,Navi Mumbai,477,9.3,4436.1
10,Ratnagiri,657,7.4,4861.8
8,Navi Mumbai,456,9.3,4240.8
1,Kolkata,547,8.7,4758.9
9,Mumbai,713,9.2,6559.6
3,New Delhi,702,8.5,5967
12,Hyderabad,443,8.4,3721.2
10,Ratnagiri,698,7.4,5165.2
8,Gurgaon,273,8.3,2265.9
7,Noida,236,8.2,1935.2
4,Pune,510,9.1,4641
9,Shimla,669,7.7,5151.3
2,Hyderabad,619,8.4,5199.6
10,New Delhi,472,8.5,4012
8,Pune,594,9.1,5405.4
9,Dahej,493,7.6,3746.8
3,Gurgaon,528,8.3,4382.4
5,Ahmedabad,441,7.9,3483.9
6,Vadodara,413,7.8,3221.4
9,Dahej,569,7.6,4324.4
10,Faridabad,684,8.1,5540.4
9,Hyderabad,455,8.4,3822
2,Hyderabad,602,8.4,5056.8
11,Vadodara,619,7.8,4828.2
5,Hyderabad,415,8.4,3486
5,Mumbai,352,9.2,3238.4
10,Noida,532,8.2,4362.4
6,Mumbai,694,9.2,6384.8
10,Pune,664,9.1,6042.4
9,Ahmedabad,368,7.9,2907.2
12,Pune,449,9.1,4085.9
1,Ahmedabad,400,7.9,3160
11,Ratnagiri,612,7.4,4528.8
2,Kolkata,401,8.7,3488.7
12,Vadodara,602,7.8,4695.6
2,New Delhi,655,8.5,5567.5
10,Shimla,338,7.7,2602.6
1,Mumbai,418,9.2,3845.6
6,Dahej,435,7.6,3306
12,Dahej,456,7.6,3465.6
6,Nagpur,535,8.9,4761.5
4,Vadodara,575,7.8,4485
11,Hyderabad,378,8.4,3175.2
1,Ratnagiri,461,7.4,3411.4
6,Gurgaon,674,8.3,5594.2
6,Dahej,617,7.6,4689.2
10,Faridabad,467,8.1,3782.7
11,Navi Mumbai,490,9.3,4557
6,Chennai,533,8.8,4690.4
4,Gurgaon,346,8.3,2871.8
7,Ahmedabad,395,7.9,3120.5
7,Faridabad,423,8.1,3426.3
8,Nagpur,571,8.9,5081.9
1,Nagpur,598,8.9,5322.2
11,Ratnagiri,775,7.4,5735
2,Ahmedabad,571,7.9,4510.9
12,Dahej,539,7.6,4096.4
9,Pune,587,9.1,5341.7
7,Faridabad,729,8.1,5904.9
8,Chennai,610,8.8,5368
4,Ratnagiri,427,7.4,3159.8
8,Ahmedabad,410,7.9,3239
6,Ratnagiri,418,7.4,3093.2
3,New Delhi,472,8.5,4012
6,Nagpur,431,8.9,3835.9
12,Dahej,702,7.6,5335.2
4,Hyderabad,347,8.4,2914.8
9,Gurgaon,530,8.3,4399
3,Ahmedabad,554,7.9,4376.6
10,Pune,389,9.1,3539.9
11,Pune,376,9.1,3421.6
9,Vadodara,639,7.8,4984.2
2,Dahej,486,7.6,3693.6
12,Dahej,459,7.6,3488.4
8,Navi Mumbai,393,9.3,3654.9
9,Ratnagiri,467,7.4,3455.8
6,Faridabad,341,8.1,2762.1
3,Faridabad,507,8.1,4106.7
1,Vadodara,417,7.8,3252.6
8,Chennai,713,8.8,6274.4
4,Kolkata,454,8.7,3949.8
9,Vadodara,431,7.8,3361.8
4,Gurgaon,653,8.3,5419.9
1,Ratnagiri,764,7.4,5653.6
9,Ahmedabad,636,7.9,5024.4
5,Chennai,497,8.8,4373.6
10,Faridabad,642,8.1,5200.2
11,New Delhi,440,8.5,3740
11,Chennai,480,8.8,4224
6,Mumbai,308,9.2,2833.6
9,Ratnagiri,461,7.4,3411.4
1,Chennai,448,8.8,3942.4
8,Gurgaon,495,8.3,4108.5
4,Dahej,428,7.6,3252.8
5,Shimla,659,7.7,5074.3
3,Pune,543,9.1,4941.3
12,New Delhi,373,8.5,3170.5
1,Vadodara,672,7.8,5241.6
10,Gurgaon,460,8.3,3818
11,Kolkata,314,8.7,2731.8
3,Ahmedabad,543,7.9,4289.7
3,Ratnagiri,373,7.4,2760.2
6,Hyderabad,584,8.4,4905.6
11,Shimla,529,7.7,4073.3
11,Kolkata,660,8.7,5742
2,Vadodara,320,7.8,2496
3,New Delhi,393,8.5,3340.5
10,Hyderabad,525,8.4,4410
9,Ratnagiri,477,7.4,3529.8
7,Mumbai,458,9.2,4213.6
1,Hyderabad,531,8.4,4460.4
3,Navi Mumbai,475,9.3,4417.5
5,Ahmedabad,443,7.9,3499.7
4,New Delhi,578,8.5,4913
7,Pune,425,9.1,3867.5
11,Ahmedabad,361,7.9,2851.9
8,Shimla,310,7.7,2387
5,Pune,432,9.1,3931.2
9,Dahej,386,7.6,2933.6
2,Pune,350,9.1,3185
11,Kolkata,695,8.7,6046.5
6,Ahmedabad,654,7.9,5166.6
12,Vadodara,592,7.8,4617.6
2,New Delhi,515,8.5,4377.5
6,Nagpur,593,8.9,5277.7
9,Vadodara,314,7.8,2449.2
11,Ratnagiri,310,7.4,2294
7,Mumbai,605,9.2,5566
11,Shimla,489,7.7,3765.3
12,Ratnagiri,416,7.4,3078.4
1,Faridabad,694,8.1,5621.4
7,New Delhi,486,8.5,4131
12,Navi Mumbai,410,9.3,3813
1,Hyderabad,694,8.4,5829.6
6,Shimla,596,7.7,4589.2
1,Dahej,533,7.6,4050.8
12,Ahmedabad,336,7.9,2654.4
10,Mumbai,611,9.2,5621.2
5,New Delhi,468,8.5,3978
3,Ratnagiri,597,7.4,4417.8
5,Faridabad,781,8.1,6326.1
9,Chennai,330,8.8,2904
8,Noida,355,8.2,2911
10,Vadodara,560,7.8,4368
12,Faridabad,335,8.1,2713.5
8,Chennai,489,8.8,4303.2
2,Ratnagiri,605,7.4,4477
6,Shimla,504,7.7,3880.8
10,Ahmedabad,465,7.9,3673.5
11,Hyderabad,420,8.4,3528
9,Chennai,524,8.8,4611.2
12,Nagpur,375,8.9,3337.5
11,New Delhi,431,8.5,3663.5
12,Shimla,590,7.7,4543
6,Navi Mumbai,377,9.3,3506.1
10,Hyderabad,586,8.4,4922.4
5,Kolkata,404,8.7,3514.8
1,Mumbai,672,9.2,6182.4
10,Ahmedabad,692,7.9,5466.8
6,Dahej,362,7.6,2751.2
12,Pune,444,9.1,4040.4
8,Dahej,785,7.6,5966
6,Vadodara,350,7.8,2730
8,Mumbai,471,9.2,4333.2
1,Kolkata,555,8.7,4828.5
6,Dahej,454,7.6,3450.4
8,New Delhi,402,8.5,3417
6,Ahmedabad,635,7.9,5016.5
6,Ratnagiri,457,7.4,3381.8
8,Pune,579,9.1,5268.9
1,Mumbai,557,9.2,5124.4
11,Ahmedabad,517,7.9,4084.3
6,Faridabad,500,8.1,4050
1,Hyderabad,676,8.4,5678.4
3,Gurgaon,464,8.3,3851.2
1,Ratnagiri,701,7.4,5187.4
12,Nagpur,433,8.9,3853.7
4,Faridabad,474,8.1,3839.4
6,Vadodara,439,7.8,3424.2
7,Vadodara,889,7.8,6934.2
4,Kolkata,357,8.7,3105.9
4,Vadodara,555,7.8,4329
10,Ratnagiri,551,7.4,4077.4
4,Pune,407,9.1,3703.7
2,Mumbai,549,9.2,5050.8
1,Nagpur,743,8.9,6612.7
11,Mumbai,575,9.2,5290
9,Dahej,367,7.6,2789.2
9,Chennai,470,8.8,4136
11,Shimla,647,7.7,4981.9
6,Dahej,622,7.6,4727.2
8,Navi Mumbai,530,9.3,4929
5,Kolkata,471,8.7,4097.7
9,Faridabad,572,8.1,4633.2
7,Hyderabad,437,8.4,3670.8
9,Ratnagiri,546,7.4,4040.4
6,Vadodara,589,7.8,4594.2
3,Vadodara,550,7.8,4290
4,Dahej,474,7.6,3602.4
6,Gurgaon,543,8.3,4506.9
2,Navi Mumbai,527,9.3,4901.1
2,Kolkata,434,8.7,3775.8
8,Ratnagiri,519,7.4,3840.6
7,Hyderabad,605,8.4,5082
4,Pune,376,9.1,3421.6
6,Ahmedabad,771,7.9,6090.9
1,Ratnagiri,537,7.4,3973.8
6,Hyderabad,391,8.4,3284.4
9,Noida,533,8.2,4370.6
12,New Delhi,479,8.5,4071.5
4,New Delhi,424,8.5,3604
12,Noida,593,8.2,4862.6
4,Pune,372,9.1,3385.2
11,Ahmedabad,481,7.9,3799.9
2,Faridabad,546,8.1,4422.6
6,Pune,501,9.1,4559.1
2,Nagpur,246,8.9,2189.4
11,Noida,447,8.2,3665.4
11,Dahej,600,7.6,4560
11,Pune,779,9.1,7088.9
10,Noida,514,8.2,4214.8
12,Navi Mumbai,254,9.3,2362.2
8,Ratnagiri,506,7.4,3744.4
10,Noida,511,8.2,4190.2
1,Mumbai,556,9.2,5115.2
5,Navi Mumbai,310,9.3,2883
4,Gurgaon,550,8.3,4565
9,Noida,459,8.2,3763.8
2,Kolkata,360,8.7,3132
10,Ahmedabad,429,7.9,3389.1
1,Gurgaon,503,8.3,4174.9
7,Shimla,522,7.7,4019.4
3,Hyderabad,555,8.4,4662
5,Ahmedabad,612,7.9,4834.8
10,Hyderabad,624,8.4,5241.6
3,Hyderabad,229,8.4,1923.6
12,Navi Mumbai,629,9.3,5849.7
8,Gurgaon,587,8.3,4872.1
4,Vadodara,424,7.8,3307.2
4,Noida,388,8.2,3181.6
9,New Delhi,375,8.5,3187.5
9,Ratnagiri,684,7.4,5061.6
8,New Delhi,222,8.5,1887
7,New Delhi,508,8.5,4318
2,Vadodara,322,7.8,2511.6
1,New Delhi,452,8.5,3842
3,Pune,267,9.1,2429.7
5,Pune,669,9.1,6087.9
1,Kolkata,576,8.7,5011.2
3,Ahmedabad,616,7.9,4866.4
3,Chennai,588,8.8,5174.4
8,Ratnagiri,644,7.4,4765.6
1,New Delhi,460,8.5,3910
6,Navi Mumbai,557,9.3,5180.1
3,Noida,608,8.2,4985.6
2,Chennai,308,8.8,2710.4
10,Kolkata,645,8.7,5611.5
4,Noida,819,8.2,6715.8
3,Vadodara,616,7.8,4804.8
8,Noida,706,8.2,5789.2
12,Navi Mumbai,548,9.3,5096.4
4,Gurgaon,592,8.3,4913.6
6,Pune,203,9.1,1847.3
12,Dahej,542,7.6,4119.2
4,Faridabad,488,8.1,3952.8
3,Navi Mumbai,525,9.3,4882.5
4,Nagpur,273,8.9,2429.7
9,Dahej,571,7.6,4339.6
1,Vadodara,311,7.8,2425.8
3,Faridabad,445,8.1,3604.5
1,Shimla,520,7.7,4004
8,Noida,328,8.2,2689.6
2,Mumbai,347,9.2,3192.4
12,Chennai,466,8.8,4100.8
2,Nagpur,553,8.9,4921.7
3,Nagpur,451,8.9,4013.9
9,Ahmedabad,410,7.9,3239
5,Ratnagiri,710,7.4,5254
7,New Delhi,205,8.5,1742.5
4,Faridabad,335,8.1,2713.5
6,Mumbai,441,9.2,4057.2
11,Kolkata,592,8.7,5150.4
9,Chennai,473,8.8,4162.4
8,Kolkata,424,8.7,3688.8
12,Dahej,586,7.6,4453.6
9,Chennai,569,8.8,5007.2
12,Vadodara,425,7.8,3315
1,Kolkata,458,8.7,3984.6
7,Ratnagiri,540,7.4,3996
5,Faridabad,239,8.1,1935.9
8,Kolkata,502,8.7,4367.4
4,Shimla,428,7.7,3295.6
2,Vadodara,456,7.8,3556.8
2,Ratnagiri,536,7.4,3966.4
10,New Delhi,486,8.5,4131
11,Pune,498,9.1,4531.8
11,Faridabad,495,8.1,4009.5
2,Nagpur,428,8.9,3809.2
5,Faridabad,445,8.1,3604.5
6,Noida,506,8.2,4149.2
2,Shimla,562,7.7,4327.4
6,Ahmedabad,376,7.9,2970.4
6,Dahej,541,7.6,4111.6
11,Gurgaon,410,8.3,3403
